label	train	species	genbank	mycocosm	reference	nomenclature1	nomenclature2	nomenclature3	comments	file
mon_per	1	Moniliophthora perniciosa				hemibiotroph	mesotroph	mesotroph_extracellular		Monpe1_1_GeneCatalog_proteins_20131213.aa.fasta
myc_fij	1	Mycosphaerella fijiensis				hemibiotroph	mesotroph	mesotroph_extracellular		Mfijiensis_v2.FrozenGeneCatalog_20100402.proteins.fasta
zym_tri	1	Zymoseptoria tritici				hemibiotroph	mesotroph	mesotroph_extracellular		Mgraminicolav2.FilteredModels1.proteins.fasta
col_glo	1	Colletotrichum gloeosporioides				hemibiotroph	mesotroph	mesotroph_intracellular		Colletotrichum_gloeosporioides.GCA_000319635.1.27.pep.all.fasta
col_gra	1	Colletotrichum graminicola				hemibiotroph	mesotroph	mesotroph_intracellular		Colletotrichum_graminicola.GCA_000149035.1.27.pep.all.fasta
col_hig	1	Colletotrichum higginsianum				hemibiotroph	mesotroph	mesotroph_intracellular		Colletotrichum_higginsianum.GCA_000313795.2.27.pep.all.fasta
col_orb	1	Colletotrichum orbiculare				hemibiotroph	mesotroph	mesotroph_intracellular		Colletotrichum_orbiculare.GCA_000350065.1.27.pep.all.fasta
mag_ory	1	Magnaporthe oryzae				hemibiotroph	mesotroph	mesotroph_intracellular		Maggr1_GeneCatalog_proteins_20110524.aa.fasta
set_tur	1	Setosphaeria turcica				hemibiotroph	mesotroph	polymertroph_broad		Settu1_GeneCatalog_proteins_20110305.aa.fasta
arm_mel	1	Armillaria mellea				necrotroph	polymertroph	polymertroph_broad		Armme1_1_GeneCatalog_proteins_20140802.aa.fasta
bot_cin_b5	1	Botrytis cinerea B05				necrotroph	polymertroph	polymertroph_broad		BcinB05.fasta
bot_cin_bcdw1	1	Botrytis cinerea BcDW1				necrotroph	polymertroph	polymertroph_broad		BcinBcDW1.fasta
bot_cin_t4	1	Botrytis cinerea T4				necrotroph	polymertroph	polymertroph_broad		BcinT4.fasta
eut_lat	1	Eutypa lata				necrotroph	polymertroph	polymertroph_broad		Eutypa_lata_UCREL1_EL1_augustus_proteins.v0.4.completeid.fasta
gae_gra	1	Gaeumannomyces graminis				necrotroph	polymertroph	polymertroph_broad		Gaeumannomyces_graminis.Gae_graminis_V2.27.pep.all.fasta
het_ann	1	Heterobasidion annosum				necrotroph	polymertroph	polymertroph_broad		Hannosum_v2.FilteredModels1.proteins.fasta
mac_pha	1	Macrophomina phaseolina				necrotroph	polymertroph	polymertroph_broad		Macph1_GeneCatalog_proteins_20131211.aa.fasta
rhi_sol_ag1	1	Rhizoctonia solani AG1-IA				necrotroph	polymertroph	polymertroph_broad		Rhiso1_GeneCatalog_proteins_20131028.aa.fasta
rhi_sol_ag8	1	Rhizoctonia solani AG8				necrotroph	polymertroph	polymertroph_broad		RSAG8_ncbi_version.cds.aa.fasta
scl_bor	1	Sclerotinia borealis				necrotroph	polymertroph	polymertroph_broad		sclero_borealis.fasta
scl_scl	1	Sclerotinia sclerotiorum				necrotroph	polymertroph	polymertroph_broad		Sclsc1_GeneCatalog_proteins_20110903.aa.fasta
zym_bre	1	Zymoseptoria brevis				necrotroph	polymertroph	polymertroph_broad		Zymoseptoria_brevis_strain_Zb18110_prot.fasta
zym_psu	1	Zymoseptoria pseudotritici				necrotroph	polymertroph	polymertroph_broad		Zymps1_GeneCatalog_proteins_20141012.aa.fasta
mon_ror	1	Moniliophthora roreri				hemibiotroph	mesotroph	polymertroph_narrow		mon_roreri.fasta
alt_bra	1	Alternaria brassicicola ATCC96836		Altbr1	10.1371/journal.ppat.1003037	necrotroph	polymertroph	polymertroph_narrow		Alternaria_brassicicola_proteins.fasta
coc_car	1	Cochliobolus carbonum				necrotroph	polymertroph	polymertroph_narrow		Cocca1_GeneCatalog_proteins_20120427.aa.fasta
coc_het_C4	1	Cochliobolus heterostrophus C4				necrotroph	polymertroph	polymertroph_narrow		CocheC4_1_GeneCatalog_proteins_20110824.aa.fasta
coc_het_C5	1	Cochliobolus heterostrophus C5		CocheC5_3	10.1371/journal.ppat.1003037;10.1371/journal.pgen.1003233 	necrotroph	polymertroph	polymertroph_narrow		CocheC5_3_GeneCatalog_proteins_20110901.aa.fasta
coc_miy	1	Cochliobolus miyabeanus				necrotroph	polymertroph	polymertroph_narrow		Cocmi1_GeneCatalog_proteins_20120427.aa.fasta
coc_sat	1	Cochliobolus sativus				necrotroph	polymertroph	polymertroph_narrow		Cocsa1_GeneCatalog_proteins_20110610.aa.fasta
coc_vic	1	Cochliobolus victoriae				necrotroph	polymertroph	polymertroph_narrow		Cocvi1_GeneCatalog_proteins_20120501.aa.fasta
par_nod	1	Parastagonospora nodorum				necrotroph	polymertroph	polymertroph_narrow		Stano2_GeneCatalog_proteins_20110506.aa.fasta
pyr_ter	1	Pyrenophora teres teres	GCA_000166005.1	Pyrtt1	10.1186/gb-2010-11-11-r109	necrotroph	polymertroph	polymertroph_narrow		Pyrtt1_GeneCatalog_proteins_20110408.aa.fasta
pyr_tri	1	Pyrenophora tritici-repentis				necrotroph	polymertroph	polymertroph_narrow		pyrenophora_tritici-repentis_1_proteins.fasta
aga_bis	1	Agaricus bisporus var. bisporus H97		Agabi_varbisH97_2	10.1073/pnas.1206847109	saprotroph	saprotroph	saprotroph		Abisporus_varbisporusH97.v2.FilteredModels3.proteins.fasta
asp_fum	1	Aspergillus fumigatus				saprotroph	saprotroph	saprotroph		Aspfu1_GeneCatalog_proteins_20120808.aa.fasta
asp_nid	1	Aspergillus nidulans				saprotroph	saprotroph	saprotroph		Aspnid1_GeneCatalog_proteins_20110130.aa.fasta
deb_han	1	Debaryomyces hansenii				saprotroph	saprotroph	saprotroph		Debha1_GeneCatalog_proteins_20130209.aa.fasta
glo_tra	1	Gloeophyllum trabeum				saprotroph	saprotroph	saprotroph		Glotr1_1_GeneCatalog_proteins_20100921.aa.fasta
kom_pas	1	Komagataella pastoris				saprotroph	saprotroph	saprotroph		Komagataella_pastoris.GCA_000027005.1.27.pep.all.fasta
neu_cra	1	Neurospora crassa				saprotroph	saprotroph	saprotroph		Neucr2_GeneCatalog_proteins_20130412.aa.fasta
sac_cer	1	Saccharomyces cerevisiae				saprotroph	saprotroph	saprotroph		Sacce1_GeneCatalog_proteins_20101210.aa.fasta
sch_pom	1	Schizosaccharomyces pombe				saprotroph	saprotroph	saprotroph		Schpo1_GeneCatalog_proteins_20130111.aa.fasta
ser_lac	1	Serpula lacrymans				saprotroph	saprotroph	saprotroph		Serpula_lacrymans_S7_3_v2.proteins.fasta
sph_ste	1	Sphaerobolus stellatus				saprotroph	saprotroph	saprotroph		Sphst1_GeneCatalog_proteins_20120430.aa.fasta
tra_ver	1	Trametes versicolor				saprotroph	saprotroph	saprotroph		Trave1_GeneCatalog_proteins_20101111.aa.fasta
tri_vir	1	Trichoderma virens				saprotroph	saprotroph	saprotroph		Trichoderma_virens.ASM17099v1.27.pep.all.fasta
unc_ree	1	Uncinocarpus reesii				saprotroph	saprotroph	saprotroph		Uncre1_GeneCatalog_proteins_20131024.aa.fasta
aga_bis_bur	0	Agaricus bisporus var. burnettii JB137-S8	GCA_000300555	Agabi_varbur_1	10.1073/pnas.1206847109	unclassified	unclassified	unclassified		Abisporus_varburnettii.v2.FilteredModels1.proteins.fasta
alt_alt_atcc11680	0	Alternaria alternata ATCC11680			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_alternata_ATCC11680_proteins.fa
alt_alt_atcc66891	0	Alternaria alternata ATCC66891			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_alternata_ATCC66891_proteins.fa
alt_alt_bmp0270	0	Alternaria alternata BMP0270			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_alternata_BMP0270_proteins.fa
alt_alt_src1lk2f	0	Alternaria alternata SRC1lrK2f			10.1371/journal.pone.0157844	unclassified	unclassified	unclassified		Alternaria_alternata.Altal1.strainSRC1lrK2f.pep.all.fa
alt_arb_bmp0308	0	Alternaria arborescens BMP0308			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_arborescens_BMP0308_proteins.fa
alt_bra_atcc96836	0	Alternaria brassicicola ATCC96836			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_brassicicola_ATCC96836_proteins.fa
alt_cap_bmp0180	0	Alternaria capsici BMP0180			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_capsici_BMP0180_proteins.fa
alt_car_bmp1963	0	Alternaria carthami BMP1963			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_carthami_BMP1963_proteins.fa
alt_cit_bmp2343	0	Alternaria citriarbusti BMP2343			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_citriarbusti_BMP2343_proteins.fa
alt_cra_bmp0172	0	Alternaria crassa BMP0172			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_crassa_BMP0172_proteins.fa
alt_dau_bmp0167	0	Alternaria dauci BMP0167			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_dauci_BMP0167_proteins.fa
alt_des_bmp0317	0	Alternaria destruens BMP0317			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_destruens_BMP0317_proteins.fa
alt_fra_bmp3062	0	Alternaria fragariae BMP3062			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_fragariae_BMP3062_proteins.fa
alt_gai_bmp2338	0	Alternaria gaisen BMP2338			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_gaisen_BMP2338_proteins.fa
alt_lim_bmp2335	0	Alternaria limoniasperae BMP2335			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_limoniasperae_BMP2335_proteins.fa
alt_lon_bmp0313	0	Alternaria longipes BMP0313			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_longipes_BMP0313_proteins.fa
alt_mac_bmp1949	0	Alternaria macrospora BMP1949			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_macrospora_BMP1949_proteins.fa
alt_mal_bmp3063	0	Alternaria mali BMP3063			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_mali_BMP3063_proteins.fa
alt_mal_bmp3064	0	Alternaria mali BMP3064			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_mali_BMP_3064_proteins.fa
alt_por_bmp0178	0	Alternaria porri BMP0178			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_porri_BMP0178_proteins.fa
alt_sol_bmp0185	0	Alternaria solani BMP0185			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_solani_BMP0185_proteins.fa
alt_tan_bmp2327	0	Alternaria tangelonis BMP2327			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_tangelonis_BMP2327_proteins.fa
alt_ten_bmp0304	0	Alternaria tenuissima BMP0304			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_tenuissima_BMP0304_proteins.fa
alt_tom_bmp2032	0	Alternaria tomatophila BMP2032			10.1186/s12864-015-1430-7	unclassified	unclassified	unclassified		Alternaria_tomatophila_BMP2032_proteins.fa
asc_rab_ardii	0	Ascochyta rabiei ArDII			10.1038/srep24638	unclassified	unclassified	unclassified		Ascochyta_rabeii_ArDii_sequence.fasta
asp_ory_rib40	0	Aspergillus oryzae RIB40	GCA_000184455.3		10.1038/nature04300	unclassified	unclassified	unclassified		Aspergillus_oryzae.ASM18445v3.pep.all.fa
bip_sor_nd90pr	0	Bipolaris sorokiniana ND90Pr	GCA_000338995	Cocsa1	10.1371/journal.pgen.1003233;10.1371/journal.ppat.1003037 	unclassified	unclassified	unclassified		Bipolaris_sorokiniana_nd90pr.Cocsa1.pep.all.fa
blu_gra_hor_dh14	0	Blumeria graminis f. sp. hordei DH14		Blugr1	10.1126/science.1194573	unclassified	unclassified	unclassified	Out of date. Use Blugr2 in next version	Blugr1_GeneCatalog_proteins_20131023.aa.fasta
bot_cin_b05_10	0	Botrytis cinerea B05.10	GCA_000143535.4	Botci1	10.1371/journal.pgen.1002230;10.1128/EC.00164-12 	unclassified	unclassified	unclassified		Botci1_GeneCatalog_proteins_20110903.aa.fasta
cha_glo	0	Chaetomium globosum				unclassified	unclassified	unclassified		Chagl_1_GeneModels_BroadGeneModels_aa.fasta
col_flo_pj7	0	Colletotrichum florinae PJ7				unclassified	unclassified	unclassified		Colletotrichum_florinae_PJ7_sequence.fasta
col_inc_maff238704	0	Colletotrichum incanum MAFF238704	GCA_001625285.1			unclassified	unclassified	unclassified		Colletotrichum_incanum_MAFF238704_sequence.fasta
col_nym_sa01	0	Colletotrichum nymphaeae SA-01	GCA_001563115			unclassified	unclassified	unclassified		Colletotrichum_nymphaeae_SA-01_sequence.fasta
col_sim_cbs122122	0	Colletotrichum simmondsii CBS122122		Colsi1	10.1186/s12864-016-2917-6	unclassified	unclassified	unclassified		Colletotrichum_simmondsii__CBS122122_sequence.fasta
col_sub_tx430bb	0	Colletotrichum sublineola TX430BB	GCA_000696135			unclassified	unclassified	unclassified		Colletotrichum_sublineola_TX430BB_sequence.fasta
cur_lun_m118	0	Curvularia lunata var. lunata m118		Coclu2	10.1371/journal.ppat.1003037	unclassified	unclassified	unclassified	Cochliobolus lunatus	Coclu2_GeneCatalog_proteins_20120521.aa.fasta
fus_lan_fl201059	0	Fusarium langsethiae Fl201059	GCA_001292635			unclassified	unclassified	unclassified		Fusarium_langsethiae.ASM129263v1.pep.all.fa
fus_poa_fpoa1_0	0	Fusarium poae	GCA_001675295			unclassified	unclassified	unclassified		Fusarium_poae.FPOA1_0.pep.all.fa
lep_mac_bra	0	Leptosphaeria maculans brassicae		Lepmu1	10.1038/ncomms1189	unclassified	unclassified	unclassified		Lepmu1_GeneCatalog_proteins_20110301.aa.fasta
mal_glo	0	Malasezzia globosa				unclassified	unclassified	unclassified		Malassezia_globosa.proteins.fasta
mar_bru	0	Marssonina brunnea f. sp. ''multigermtubi''				unclassified	unclassified	unclassified		Marbr1_GeneCatalog_proteins_20141203.aa.fasta
met_rob_mr2010_11_27	0	Metarhizium robertsii MR2010_11_27	GCA_000591435			unclassified	unclassified	unclassified		Metarhizium_robertsii.MR2010_11_27.pep.all.fa
mic_vio	0	Microbotryum violaceum	GCA_000166175.1			unclassified	unclassified	unclassified		Microbotryum_violaceum.GCA_000166175.1.pep.all.fa
muc_cir	0	Mucor circinelloides				unclassified	unclassified	unclassified		mucor_circ.fasta
pha_ale	0	Phaeoacremonium aleophilum				unclassified	unclassified	unclassified		Phaal1_GeneCatalog_proteins_20130924.aa.fasta
pic_pas_gc115	0	Pichia pastoris GS115		Picpa1	10.1038/nbt.1544	unclassified	unclassified	unclassified		Picpa1_GeneCatalog_proteins_20130227.aa.fasta
puc_gra_2010	0	Puccinia graminis		Pucgr1	10.1073/pnas.1019315108	unclassified	unclassified	unclassified		Puccinia_graminis.proteins.fasta
puc_sor_RO10H11247	0	Puccinia sorghi RO10H11247	GCA_001263375			unclassified	unclassified	unclassified		Puccinia_sorghi.ASM126337v1.pep.all.fa
rhi_del	0	Rhizopus delemar				unclassified	unclassified	unclassified		Rhizopus_delemar.fasta
rhy_ruf	0	Rhytidhysteron rufulum				unclassified	unclassified	unclassified		Rhyru1_GeneCatalog_proteins_20110209.aa.fasta
sep_mus_so2202	0	Septoria musiva SO2202		Sepmu1	10.1073/pnas.1424293112;10.1371/journal.ppat.1003037	unclassified	unclassified	unclassified		Sepmu1_GeneCatalog_proteins_20100915.aa.fasta
sep_pop	0	Septoria populicola		Seppo1	10.1371/journal.ppat.1003037;10.1073/pnas.1424293112	unclassified	unclassified	unclassified		Seppo1_GeneCatalog_proteins_20110720.aa.fasta
sep_tri	0	Septoria tritici		Mycgr3	10.1371/journal.pgen.1002070	unclassified	unclassified	unclassified	Mycosphaerella graminicola Zymoseptoria now?	Mgraminicolav2.FrozenGeneCatalog20080910.proteins.fasta
ste_hir	0	Stereum hirsutum				unclassified	unclassified	unclassified		Stehi1_GeneCatalog_proteins_20101026.aa.fasta
til_ano	0	Tilletiaria anomala				unclassified	unclassified	unclassified		Tilan2_GeneCatalog_proteins_20140224.aa.fasta
tri_ree_qm6a	0	Trichoderma reesei QM6a	GCA_000167675.2	Trire2	10.1038/nbt1403	unclassified	unclassified	unclassified		Trichoderma_reesei.GCA_000167675.2.pep.all.fa
ven_ina_mnh120	0	Venturia inaequalis MNH120		Venin1	10.1186/s12864-017-3699-1	unclassified	unclassified	unclassified		Venin1_GeneCatalog_proteins_20141010.aa.fasta
ven_pir_icmp11032	0	Venturia pirina ICMP 11032		Venpi1	10.1021/pr500176c;10.1186/s12864-017-3699-1	unclassified	unclassified	unclassified		Venpi1_GeneCatalog_proteins_20150407.aa.fasta
ver_dah_jr2	0	Verticillium dahliae JR2	GCA_000400815.2			unclassified	unclassified	unclassified		Verticillium_dahliaejr2.GCA_000400815.2.27.pep.all.fasta
vol_vol	0	Volvariella volvacea				unclassified	unclassified	unclassified		Volvo1_GeneCatalog_proteins_20130703.aa.fasta
yar_lip	0	Yarrowia lipolytica				unclassified	unclassified	unclassified		Yarrowia_lipolytica.GCA_000002525.1.27.pep.all.fasta
fus_ave	1	Fusarium avenaceae				necrotroph	vasculartroph	vasculartroph		Fus_avenaceum_unknown.fasta
fus_fuj	1	Fusarium fujikuroi				necrotroph	vasculartroph	vasculartroph		Fusfu1_GeneCatalog_proteins_20130915.aa.fasta
fus_oxy_cub_1	1	Fusarium oxysporum fsp cubense race 1				necrotroph	vasculartroph	vasculartroph		foxy_cubense_race1.fasta
fus_oxy_cub_4	1	Fusarium oxysporum fsp cubense race 4				necrotroph	vasculartroph	vasculartroph		foxy_cubense_race4.fasta
fus_oxy_cub_t4	1	Fusarium oxysporum fsp cubense tropical race 4				necrotroph	vasculartroph	vasculartroph		foxy_cubense_trop_race4_54006.fasta
fus_oxy_lyc	1	Fusarium oxysporum fsp lycopersici				necrotroph	vasculartroph	vasculartroph		Fusox1_GeneCatalog_proteins_20110522.aa.fasta
fus_oxy_mel	1	Fusarium oxysporum fsp melonis				necrotroph	vasculartroph	vasculartroph		foxy_melonis.fasta
fus_pse	1	Fusarium psuedograminearum				necrotroph	vasculartroph	vasculartroph		fus_pseudogram.fasta
fus_sol	1	Fusarium solani				necrotroph	vasculartroph	vasculartroph		Necha2_best_proteins.fasta
fus_ver	1	Fusarium verticilliodes				necrotroph	vasculartroph	vasculartroph		Fusve1_GeneCatalog_proteins_20130924.aa.fasta
ver_alb	1	Verticillium albo-atrum VaMs.102		Veral1	10.1371/journal.ppat.1002137	necrotroph	vasculartroph	vasculartroph	Now Verticillium alfalfae	Veral1_GeneCatalog_proteins_20131030.aa.fasta
ver_dah	1	Verticillium dahliae VdLs.17		Verda1	10.1371/journal.ppat.1002137	hemibiotroph	vasculartroph	vasculartroph		Verda1_GeneCatalog_proteins_20110524.aa.fasta
